VARIDX,VARA,VARB,VARC
106,btf,Hyperoside,KaempferolOglucosylrhamnoside
107,btf,Hyperoside,KaempferolOglucosylrhamnosylglucoside
108,btf,Hyperoside,Myricetingalactoside
109,btf,Hyperoside,Myricetinglucoside
110,btf,Hyperoside,Myricetinglucosylrhamnosiderhamnosylglucoside
111,btf,Hyperoside,Quercetinglucosylrhamnosylgalactoside
112,btf,Hyperoside,Quercetinrhamnosylgalactoside
113,btf,Kaempferolglucosylrhamnosylgalactoside,Astragalin
114,btf,Kaempferolglucosylrhamnosylgalactoside,Cianidanol
115,btf,Kaempferolglucosylrhamnosylgalactoside,Epicatechin
116,btf,Kaempferolglucosylrhamnosylgalactoside,Epicatechingallate
117,btf,Kaempferolglucosylrhamnosylgalactoside,Epigallocatechin
118,btf,Kaempferolglucosylrhamnosylgalactoside,EpigallocatechinGallate
119,btf,Kaempferolglucosylrhamnosylgalactoside,Hyperoside
120,btf,Kaempferolglucosylrhamnosylgalactoside,Kaempferolglucosylrhamnosylgalactoside
121,btf,Kaempferolglucosylrhamnosylgalactoside,KaempferolODgalactoside
122,btf,Kaempferolglucosylrhamnosylgalactoside,KaempferolOglucosylrhamnoside
123,btf,Kaempferolglucosylrhamnosylgalactoside,KaempferolOglucosylrhamnosylglucoside
124,btf,Kaempferolglucosylrhamnosylgalactoside,Myricetingalactoside
125,btf,Kaempferolglucosylrhamnosylgalactoside,Myricetinglucoside
126,btf,Kaempferolglucosylrhamnosylgalactoside,Myricetinglucosylrhamnosiderhamnosylglucoside
127,btf,Kaempferolglucosylrhamnosylgalactoside,Quercetinglucosylrhamnosylgalactoside
128,btf,Kaempferolglucosylrhamnosylgalactoside,Quercetinrhamnosylgalactoside
129,btf,KaempferolODgalactoside,Astragalin
130,btf,KaempferolODgalactoside,Cianidanol
131,btf,KaempferolODgalactoside,Epicatechin
132,btf,KaempferolODgalactoside,Epicatechingallate
133,btf,KaempferolODgalactoside,Epigallocatechin
134,btf,KaempferolODgalactoside,EpigallocatechinGallate
135,btf,KaempferolODgalactoside,Hyperoside
136,btf,KaempferolODgalactoside,Kaempferolglucosylrhamnosylgalactoside
137,btf,KaempferolODgalactoside,KaempferolODgalactoside
138,btf,KaempferolODgalactoside,KaempferolOglucosylrhamnoside
139,btf,KaempferolODgalactoside,KaempferolOglucosylrhamnosylglucoside
140,btf,KaempferolODgalactoside,Myricetingalactoside
141,btf,KaempferolODgalactoside,Myricetinglucoside
142,btf,KaempferolODgalactoside,Myricetinglucosylrhamnosiderhamnosylglucoside
143,btf,KaempferolODgalactoside,Quercetinglucosylrhamnosylgalactoside
144,btf,KaempferolODgalactoside,Quercetinrhamnosylgalactoside
145,btf,KaempferolOglucosylrhamnoside,Astragalin
146,btf,KaempferolOglucosylrhamnoside,Cianidanol
147,btf,KaempferolOglucosylrhamnoside,Epicatechin
148,btf,KaempferolOglucosylrhamnoside,Epicatechingallate
149,btf,KaempferolOglucosylrhamnoside,Epigallocatechin
150,btf,KaempferolOglucosylrhamnoside,EpigallocatechinGallate
151,btf,KaempferolOglucosylrhamnoside,Hyperoside
152,btf,KaempferolOglucosylrhamnoside,Kaempferolglucosylrhamnosylgalactoside
153,btf,KaempferolOglucosylrhamnoside,KaempferolODgalactoside
154,btf,KaempferolOglucosylrhamnoside,KaempferolOglucosylrhamnoside
155,btf,KaempferolOglucosylrhamnoside,KaempferolOglucosylrhamnosylglucoside
